"size_bytes","extension","modified_utc","file"
"694",".json","2026-07-12T19:20:34.3865093Z",".claude\settings.local.json"
"5797",".js","2026-07-19T01:51:48.5195452Z","apps\web\.output\public\assets\community-change-JsGzDOGx.js"
"346481",".js","2026-07-19T01:51:48.5175269Z","apps\web\.output\public\assets\index-CbdWdkOt.js"
"417105",".js","2026-07-19T01:51:48.5200429Z","apps\web\.output\public\assets\routes-BhYIo_8e.js"
"3413",".js","2026-07-19T01:51:48.5205434Z","apps\web\.output\public\assets\trends-C2NUpoQw.js"
"4739",".js","2026-07-19T01:51:48.5180301Z","apps\web\.output\public\assets\WireShell-MEBCU_-7.js"
"270456",".json","2026-07-19T04:14:29.6006408Z","apps\web\package-lock.json"
"10901",".tsx","2026-07-19T04:14:29.6327251Z","apps\web\src\components\ui\chart.tsx"
"7490",".tsx","2026-07-19T04:14:29.6076520Z","apps\web\src\components\WireShell.tsx"
"12929",".ts","2026-07-19T04:14:29.7043574Z","apps\web\src\lib\api.ts"
"19203",".tsx","2026-07-19T04:14:29.7183704Z","apps\web\src\routes\authority.tsx"
"12434",".tsx","2026-07-19T04:14:29.7193701Z","apps\web\src\routes\beat-meeting.tsx"
"8084",".tsx","2026-07-19T04:14:29.7198707Z","apps\web\src\routes\community-change.tsx"
"30276",".tsx","2026-07-19T04:14:29.7208705Z","apps\web\src\routes\index.tsx"
"5196",".tsx","2026-07-19T04:14:29.7223813Z","apps\web\src\routes\trends.tsx"
"2588",".md","2026-07-19T04:14:29.5776112Z","CHANGELOG.md"
"3920",".md","2026-07-19T04:14:29.5786103Z","CLAUDE.md"
"1690",".yml","2026-07-19T04:14:29.7298817Z","config\neighborhoods\neighborhoods.yml"
"2195",".md","2026-07-19T04:14:29.5811114Z","CONTRIBUTING.md"
"3086",".md","2026-07-19T04:14:29.7364029Z","docs\architecture\ADR\ADR-0001-repository-and-python-layout.md"
"3085",".md","2026-07-19T04:14:29.7374037Z","docs\architecture\ADR\ADR-0002-bronze-silver-gold-data-layers.md"
"3662",".md","2026-07-19T04:14:29.7384040Z","docs\architecture\ADR\ADR-0003-validation-levels.md"
"4473",".md","2026-07-19T04:14:29.7404008Z","docs\architecture\ADR\ADR-0004-neighborhood-boundary-strategy.md"
"8451",".md","2026-07-19T04:14:29.7489146Z","docs\architecture\ARCHITECTURE.md"
"4590",".md","2026-07-19T04:14:29.7544217Z","docs\architecture\DATA_FLOW.md"
"7283",".md","2026-07-19T04:14:29.7579232Z","docs\architecture\DATA_MODEL.md"
"4708",".md","2026-07-19T04:14:29.7599222Z","docs\architecture\GIS_STRATEGY.md"
"2478",".md","2026-07-19T04:14:29.7619276Z","docs\architecture\SECURITY.md"
"3179",".md","2026-07-19T04:14:29.7649389Z","docs\architecture\VALIDATION.md"
"363",".md","2026-07-11T23:01:34.0000000Z","docs\DATA_SOURCES.md"
"3334",".md","2026-07-19T04:14:29.7689385Z","docs\decisions\ISSUE_LOG.md"
"2904",".md","2026-07-19T04:14:29.7704380Z","docs\decisions\KNOWN_LIMITATIONS.md"
"3767",".md","2026-07-19T04:14:29.7729516Z","docs\methodology\CRIME.md"
"5757",".md","2026-07-19T04:14:29.7749642Z","docs\methodology\DATA_GOVERNANCE.md"
"2791",".md","2026-07-19T04:14:29.7759634Z","docs\methodology\DATA_QUALITY.md"
"3789",".md","2026-07-19T04:14:29.7789639Z","docs\product\BACKLOG.md"
"7898",".md","2026-07-19T04:14:29.7809644Z","docs\product\PRD.md"
"2350",".md","2026-07-19T04:14:29.7834802Z","docs\product\ROADMAP.md"
"2387",".md","2026-07-19T04:14:29.7844806Z","docs\product\SUCCESS_METRICS.md"
"4374",".md","2026-07-19T04:14:29.7328975Z","docs\PROJECT_STATUS.md"
"2740",".md","2026-07-19T04:14:29.7349007Z","docs\README.md"
"1410",".toml","2026-07-19T04:14:29.7869814Z","pyproject.toml"
"2486",".md","2026-07-19T04:14:29.5836337Z","README.md"
"9360",".py","2026-07-19T04:14:29.7894804Z","scripts\audit_2026.py"
"3687",".py","2026-07-19T04:14:29.7929920Z","scripts\download_crime_history.py"
"2102",".py","2026-07-19T04:14:29.7939964Z","scripts\download_geography.py"
"4799",".py","2026-07-19T04:14:29.7954974Z","scripts\enrich_crime_geography.py"
"11451",".py","2026-07-19T04:14:29.7975000Z","scripts\find_incident.py"
"702",".py","2026-07-19T04:14:29.7994972Z","scripts\pull_crime_sample.py"
"5386",".py","2026-07-19T04:14:29.8004974Z","scripts\review_2026.py"
"3497",".py","2026-07-19T04:14:29.8009965Z","scripts\validate_geography.py"
"1100",".py","2026-07-19T04:14:29.8035134Z","src\bw_observatory\api\app.py"
"5656",".py","2026-07-19T04:14:29.8050137Z","src\bw_observatory\api\routes\incidents.py"
"1047",".py","2026-07-19T04:14:29.8055165Z","src\bw_observatory\api\routes\overview.py"
"1174",".py","2026-07-19T04:14:29.8070128Z","src\bw_observatory\api\routes\pulse.py"
"2870",".py","2026-07-19T04:14:29.8080133Z","src\bw_observatory\api\routes\years.py"
"3737",".py","2026-07-19T04:14:29.8110127Z","src\bw_observatory\config.py"
"18387",".py","2026-07-19T04:14:29.8145242Z","src\bw_observatory\geography\assign.py"
"14069",".py","2026-07-19T04:14:29.8165239Z","src\bw_observatory\geography\ingest.py"
"3492",".py","2026-07-19T04:14:29.8185273Z","src\bw_observatory\geography\models.py"
"11086",".py","2026-07-19T04:14:29.8200241Z","src\bw_observatory\geography\normalize.py"
"6257",".py","2026-07-19T04:14:29.8220341Z","src\bw_observatory\geography\sources.py"
"12099",".py","2026-07-19T04:14:29.8265404Z","src\bw_observatory\ingest\base.py"
"7264",".py","2026-07-19T04:14:29.8285400Z","src\bw_observatory\ingest\bronze.py"
"2822",".py","2026-07-19T04:14:29.8325665Z","src\bw_observatory\ingest\catalog.py"
"8791",".py","2026-07-19T04:14:29.8455787Z","src\bw_observatory\ingest\crime_history.py"
"2001",".py","2026-07-19T04:14:29.8490777Z","src\bw_observatory\logging_config.py"
"12191",".py","2026-07-19T04:14:29.8510778Z","src\bw_observatory\presentation\incidents.py"
"8821",".py","2026-07-19T04:14:29.8525899Z","src\bw_observatory\presentation\models.py"
"15791",".py","2026-07-19T04:14:29.8540904Z","src\bw_observatory\presentation\overview.py"
"30763",".py","2026-07-19T04:14:29.8555905Z","src\bw_observatory\presentation\pulse.py"
"2174",".py","2026-07-19T04:14:29.8585897Z","src\bw_observatory\validation\crime_schema.py"
"238",".py","2026-07-19T04:14:29.8600908Z","tests\test_chicago_data_client.py"
"12004",".py","2026-07-19T04:14:29.8610903Z","tests\test_crime_history_ingest.py"
"26766",".py","2026-07-19T04:14:29.8706054Z","tests\test_geography.py"
"15660",".py","2026-07-19T04:14:29.8711052Z","tests\test_incidents_api.py"
"8949",".py","2026-07-19T04:14:29.8726182Z","tests\test_ingest_framework.py"
