"files","dataset_id","references"
"config\crime_categories.yml","2006-2026","1"
"src\bw_observatory\geography\sources.py","4hp8-2i8z","2"
"src\bw_observatory\geography\sources.py","5jrd-6zik","3"
"src\bw_observatory\geography\sources.py","aerh-rz74","3"
"apps\web\.output\public\assets\routes-BhYIo_8e.js","area-rect","1"
"apps\web\.output\public\assets\routes-BhYIo_8e.js","aria-busy","1"
"apps\web\.output\public\assets\routes-BhYIo_8e.js; apps\web\src\components\IncidentsTable.tsx; apps\web\src\routes\index.tsx","aria-live","10"
"apps\web\.output\public\assets\routes-BhYIo_8e.js","aria-owns","1"
"apps\web\.output\public\assets\routes-BhYIo_8e.js; apps\web\src\components\IncidentsTable.tsx; apps\web\src\routes\index.tsx","aria-sort","5"
"apps\web\.output\public\assets\routes-BhYIo_8e.js","axis-line","1"
"apps\web\.output\public\assets\routes-BhYIo_8e.js; apps\web\src\components\ui\chart.tsx","axis-tick","6"
"apps\web\src\components\ui\calendar.tsx","cell-size","11"
"docs\product\PRD.md","city-wide","1"
"apps\web\.output\public\assets\index-CbdWdkOt.js","clip-path","1"
"apps\web\.output\public\assets\index-CbdWdkOt.js","clip-rule","1"
"apps\web\src\components\ui\command.tsx","cmdk-item","4"
"apps\web\.output\public\assets\index-CbdWdkOt.js","data-href","2"
"apps\web\.output\public\assets\index-CbdWdkOt.js","data-only","2"
"apps\web\src\components\ui\sidebar.tsx","data-side","7"
"apps\web\src\components\ui\sidebar.tsx","data-size","2"
"apps\web\src\components\ui\calendar.tsx; apps\web\src\components\ui\menubar.tsx","data-slot","4"
"apps\web\package-lock.json","dead-code","4"
"apps\web\package-lock.json","fast-deep","5"
"apps\web\package-lock.json","fast-diff","4"
"apps\web\package-lock.json","fast-json","4"
"apps\web\.output\public\assets\index-CbdWdkOt.js","fill-rule","1"
"apps\web\.output\public\assets\trends-C2NUpoQw.js; apps\web\src\routes\trends.tsx","five-year","2"
"apps\web\.output\public\assets\beat-meeting-Cwu4b4bO.js; apps\web\.output\public\assets\index-CbdWdkOt.js; apps\web\.output\public\assets\routes-BhYIo_8e.js; apps\web\.output\public\assets\WireShell-MEBCU_-7.js; apps\web\src\components\IncidentsTable.tsx; apps\web\src\components\ServicePanel.tsx; apps\web\src\components\ui\breadcrumb.tsx; apps\web\src\components\ui\chart.tsx; apps\web\src\components\WireShell.tsx; apps\web\src\lib\error-page.ts; apps\web\src\routes\__root.tsx; apps\web\src\routes\beat-meeting.tsx; apps\web\src\routes\index.tsx","flex-wrap","22"
